id,text,label
ufc_001,We will find out the plan after Justin loses by not following the plan.,hot_take
ufc_002,Goes like every other time; we'll see a refined/technical Justin for half a round before Ilia points to the centre and Justin happily obliges. I don't think Justin doesn't think he can't get knocked out by Ilia I just think he won't care and his competitive side will win and he'll take the challenge simply because it's a challenge to be accepted. He's built to entertain and he's done that very well imo,fight_analysis
ufc_003,People who think Justin cant fight calmly go watch his fight against Tony.,fight_analysis
ufc_004,Tilapia will block the bullet by flicking a rose at it.,reaction_meme
ufc_005,"Rockhold is up there, he's good",hot_take
ufc_006,Prime andrei arlovski,reaction_meme
ufc_007,"Can't believe people are counting out Justin Gaethje this Sunday, the first Israeli interim champ in the UFC.",hot_take
ufc_008,Ilia would get two wins in one night,hot_take
ufc_009,Wake up in the hospital. Easy.,reaction_meme
ufc_010,"nah, Bigfoot during that SF/UFC run was on steroids and TRT. soon as he got off of it, we saw the real Bigfoot. in fact, he died against a slower Hunt in the rematch",reaction_meme
ufc_011,Horrible take. Brock didn't have a bad chin. He took punches from Carwin and stayed in the fight until his victory. He was overwhelmed by Cain and had a body shot from Overeem. You don't know what you're talking about.,fight_analysis
ufc_012,His plan is to be a good boy,reaction_meme
ufc_013,"That was my thought as well, he sucks",reaction_meme
ufc_014,After watching Usyk vs Rico it's time to have the conversation that Ilia actually has a chance to beat him,hot_take
ufc_015,"""What if I punch reeeeally hard?""",reaction_meme
ufc_016,Hmmm I agree but I think he might kick him in the leg too. Not an expert either though.,hot_take
ufc_017,"I was going mad watching his fight vs browne,great fight. He really should of got a title shot, instead they fed him to stipe who's like his worst match up possible.",hot_take
ufc_018,It's nice seeing Gilbert get a win in UFC BJJ,reaction_meme
ufc_019,You will never see an higher level striking fight,hot_take
ufc_020,Tom beats Jones,hot_take
ufc_021,Frank Mir is a beast,hot_take
ufc_022,If he tries to box with him it will get ugly. Justin needs to brawl,hot_take
ufc_023,Eddie Hearn refuses to let Tom Aspinall fight Alex Pereira or Ciryl Gane under his current UFC deal,hot_take
ufc_024,this. justin is too careless and sloppy against much inferior fighters and has paid for it then. hes old and these habits havent been corrected then and wont be corrected now in a 6 week fight camp. what we have seen of justin is what we are going to get simply put. hes not got any magic plan or tricks that will do him wonders. hes never been that guy and wont proceed to be him either.,hot_take
ufc_025,Yeah he may have hated it but the fact he withstood a full round of Carwin shots without going out like the rest of Shane's opponents showed that he could physically take a punch.,fight_analysis
ufc_026,Didn't he also have some problems with his gas tank?,question_prompt
ufc_027,Was Belal Muhammad every really that good?,question_prompt
ufc_028,How good was Prime Mighty Cat? Really good!,reaction_meme
ufc_029,"Alessio ""Legionarius"" Sakara is terrible",hot_take
ufc_030,Luke Rockhold is terrible,hot_take
ufc_031,I agree that I think kicks really slow Ilia down just because of the way he full blocks.,fight_analysis
ufc_032,Yes I would love to see him use those heavy leg kicks,reaction_meme
ufc_033,Andrei Arlovski was one of the OG heavyweight champions though so he did reach UFC gold. Even then with his chin he surprisingly aged well in the heavyweight division and was a top contender again while having a crazy scrap with Travis Browne.,fight_analysis
ufc_034,"With Colby gone, George is the worst rank squatter",hot_take
ufc_035,Normal service has been resumed.,reaction_meme
ufc_036,I swear people act like Justin won't have a chance are same people who thought Suga Sean would get destroyed by Yan or Strickland picked apart by Izzy.. It's mma.. anything can happen in there..,hot_take
ufc_037,Hot garbage.,reaction_meme
ufc_038,Rain at UFC Freedom 250 would give the event an even more cinematic atmosphere and also keep Derrick Lewis's balls cool,reaction_meme
ufc_039,Breaking Topuria's hands with this chin,reaction_meme
ufc_040,kickboxing could be the combat sport meta right now,hot_take
ufc_041,"Robbery. If Badr Hari couldn't KO Rico after dropping him, Usyk never would have either. Rico's known for his chin.",fight_analysis
ufc_042,"The plan is to get hit really hard, smile, ask for more, and somehow win Fight of the Night again lmao",reaction_meme
ufc_043,At one point he was top 3 in the division riding an 8 win streak and a win away from a title shot. He just aged super quickly and his chin left him unfortunately.,fight_analysis
ufc_044,"Leg kicks from the outside and dirty boxing in clinch probably the best strategy for anyone, but inevitably you gonna be in boxing range or get backed up and we know what happens there",fight_analysis
ufc_045,James Vick had a lot of heat before he got chin checked.,hot_take
ufc_046,Gimme another head kick please,reaction_meme
ufc_047,Of course he thinks it's leg kicks to counter Ilia's heavy front leg/boxing stance.,fight_analysis
ufc_048,"Gaethje literally fights the same way every fight. Tries to stay on the feet, low kicks, peppers some with the hands but mostly unleashing big shots. Never goes for the cage or takedowns unless he needs a break. The only thing that really changes is when he doesn't have the upper hand he goes full caveman- to sometimes good, to sometimes bad results.",fight_analysis
ufc_049,BREAKING! DANA WHITE SAYS JON JONES IS RETIRED AND TOM ASPINALL IS THE NEW UNDISPUTED HEAVYWEIGHT CHAMP!,reaction_meme
ufc_050,"This man won the belt, and proceeded to fight the best grappler in the UFC, and then the best striker in the UFC",hot_take
ufc_051,"Cody Garbrandt easily, went from looking unstoppable to getting knocked out by basically everyone, his chin just vanished overnight",hot_take
ufc_052,Make weight. Show up. Win. Easy.,reaction_meme
ufc_053,Whitman will surely tell him to fight as calculated and technical as possible but he will need the best performance of his career by miles.,hot_take
ufc_054,Jonathan Goulet seems slow,hot_take
ufc_055,"Ben Rothwell for me, dude looked terrifying but folded the second anyone landed clean on him, total glass jaw",hot_take
ufc_056,"Dana White responded to Joe Rogan calling the UFC White House event a ""gimmick"" ""If Alex Pereira wins the third world title that night, he jumps Jon Jones as the GOAT. There's absolutely nothing gimmicky about this event.""",hot_take
ufc_057,Volk responds to people who think he's too old,reaction_meme
ufc_058,The amount of clowning on this man makes me worried that he's somehow going to win,hot_take
ufc_059,Justin holding Ilia down and unleashing gnp sounds so funny to me lol. It's like a fever dream.,reaction_meme
ufc_060,The post. The post is stupid. Ilia loses,hot_take
ufc_061,Oh dear god let's hope one of them doesn't hold ilia down.,reaction_meme
ufc_062,There is no plan.,hot_take
ufc_063,If it's not based around leg kicks then it's a weapon,hot_take
ufc_064,Fighting in the pocket with topturo is so dangerous though. I think Justin is too chinny these days to eat many of those shots,fight_analysis
ufc_065,"Lol Justin is trying to speed run losing to every possible style match up there is. Aggressive pressure grappler (Khabib), Volume puncher (Max), Dynamic striking/grappling finisher (Charles), Devastating ko artist (Ilya)",fight_analysis
ufc_066,Marlon moraes is not a bad fighter,hot_take
ufc_067,"it's hard to label any legit HW as glasschin because a grazing shot from any MMA HW could kill you. when I think real glass chins, I think of people who have been put out by fighters considered to be pillowfisted. Luke Rockhold being KO'd by Bisping of all people would be a good example to me. if we do cheat with HW, then Bigfoot would be the GOAT glass chin, by far",fight_analysis
ufc_068,He finna wrestle,reaction_meme
ufc_069,Leg kick spam is what gets him knocked out,hot_take
ufc_070,"Respectfully, what a tough little bastard",reaction_meme
ufc_071,Moraes is my pick too. At the end of his career he was getting rocked by jabs. At Bantamweight.,fight_analysis
ufc_072,Andre arlovski. He was never the same after fedor. And chuck after rashad,fight_analysis
ufc_073,He's quite qualified already,reaction_meme
ufc_074,"I dont agree, he just sucks. He got starched by a 18 years old in a boxing sparring match. Leaving your chin open is more problems with defensive skills than being chinny. Rockhold got chinned too but he managed to become a champion in 2 different organisations.",fight_analysis
ufc_075,"Rockhold, McKinney, Walker could be better",reaction_meme
ufc_076,If we're doing HW schaubo gets a mention. E: if were doing glass chins not glass cannons. I dont think he had much potential,hot_take
ufc_077,"He will get hit there too, just not full power or at angle, he would take those shots over ilia swinging ten toes down in center any day",fight_analysis
ufc_078,We all love jdm but it was brutal,reaction_meme
ufc_079,No way that's happening,reaction_meme
ufc_080,the real correct answer. 2nd place cody,hot_take
ufc_081,How would this fight go? ,question_prompt
ufc_082,To all you idiots saying Rico couldn't recover from that knockdown. Dude is known for recovering from way worse.,fight_analysis
ufc_083,"Codys problem was his defence, not the chin itself. His hands dropped every time he threw a punch, which is what Dillashaw and Munhoz, who both have plenty of power, capitalized on. Even Cruz was landing at will on him, but he is incredibly pillowfisted.",fight_analysis
ufc_084,I believe he has a foolproof formula,reaction_meme
ufc_085,rolling thunder,reaction_meme
ufc_086,"Serious question: what makes him the worst? Is it because he promised the world and claimed that he was the best and never once delivered on that, or that as he got progressively worse, he still claimed to be the best?",question_prompt
ufc_087,Has he been training with Cereal Gains for this fight?,reaction_meme
ufc_088,"The khabib method - take downs and be on top for 5 rounds and make it ""boring""",fight_analysis
ufc_089,Step 1: throw a leg kick. Step 2: get punched in the face 40 times. Step 3: ??? Step 4: bonus check,reaction_meme
ufc_090,"Brock had some serious health issues that limited his career, but his inability to take a punch always stood out to me. Dude hated getting hit.",fight_analysis
ufc_091,"Nah mud fight illia, while chopping his leg",reaction_meme
ufc_092,Nate Diaz goes off on the UFC for their 4/20 NFT tweet,reaction_meme
ufc_093,"One things for sure, and that's that Justin got do that head dip bullshit he's been doing recently",fight_analysis
ufc_094,"Move forward, circle to his jab hand. Kick. Uppercut. Justin might have a decent edge with his wrestling pedigree",fight_analysis
ufc_095,"I agree make it dirty but in calculated or specific moments, like dirty boxing from the clinch.",fight_analysis
ufc_096,"Eye poking is a really good solution, but i think the best strategy would be bringing a gun to the fight",reaction_meme
ufc_097,"Eye poke, bait him into continuing with a damaged eye, KO. Easy Peasy",reaction_meme
ufc_098,"What could justin do in a technical fight against ilia that volk and max didn't do? They are easily better technical fighters and they still got knocked out. I think the plan is just make it as dirty as possible, work from the clinch since that's something justin does very well",fight_analysis
ufc_099,Low kicks and eventually a head kick,hot_take
ufc_100,"If Edson had Max Holloways chin, then holy shit R.I.P Everyone in his era",hot_take
ufc_101,Do you think this was a poor performance by Brendan Allen? Considering his opponent was a unranked guy that isn't that good. It was poor,question_prompt
ufc_102,It's leg kicks. Ilia does not check them as much as other fighters do.,fight_analysis
ufc_103,Petr Yan's corner before the illegal knee is so funny,reaction_meme
ufc_104,Adesanya's KO of Pereira in slo-mo. It really was quite impressive.,reaction_meme
ufc_105,Aaron Pico stands out as a great fighter,hot_take
ufc_106,Throwback to this cold af reply,reaction_meme
ufc_107,"The difference is power. Max and Volk do not have the stopping power Justin does. Even if they could outbox Ilia form a technical level, Ilia has zero fear getting into range and taking a few shots to land one. Justin very well might turn the lights off with a clean hit. Even if he doesn't, Ilia's going to feel those shots more than he felt Volk's or Max's. Not saying it's guaranteed or that he'll win, but there's definitely a big difference.",fight_analysis
ufc_108,Don't think that was a chin problem. It was a he wasn't in a gym legitimately getting punched in the face enough problem.,fight_analysis
ufc_109,and being knocked out by TRTVitor is not something to be ashamed of,hot_take
ufc_110,Chimaev trip,reaction_meme
ufc_111,Smash shin to shin and roll dice 50/50 and retired with a shattered shin.,reaction_meme
ufc_112,How this hypothetical fight go? Both in their prime. Will Prates unleash hell on him for 5 rounds as Nate Diaz has a crazy chin and cardio? Or can a striker of this tier actually finish Nate? Could Nate pull this off by any chance? I think Nate takes it,question_prompt
ufc_113,The plan is a rolling thunder ko straight out of the gate,reaction_meme
ufc_114,Max Holloway showing ridiculous shoulders strength before UFC 329,reaction_meme
ufc_115,Topuria got the worst fanbase,hot_take
ufc_116,gilbert burns is trash,hot_take
ufc_117,He didn't really have a weak chin though. He just couldn't physically/mentally handle getting his as good as other fighters,fight_analysis
ufc_118,"Bigfoot and hunt put beatings on each other and Bigfoot didn't go down, probably more to do with age I think",fight_analysis
ufc_119,A true master bait.,reaction_meme
ufc_120,"If he can find a way to land leg kicks without getting countered, he has a chance. Both of the Topuria brothers seem to just eat leg kicks, they don't seem to mind since they usually respond with a hook but I can see it being a problem if they can't land one.",fight_analysis
ufc_121,He's already been top 5 (#3 if I remember correctly).,fight_analysis
ufc_122,"This is the only right answer, he needs to increase his gas tank",hot_take
ufc_123,Dana White shows more detailed view of the White House setup,reaction_meme
ufc_124,The plan,reaction_meme
ufc_125,I think clinch actually leaves him vulnerable too,hot_take
ufc_126,"If he's that deep in the pocket with ilia, then it's too late",fight_analysis
ufc_127,"Lol I literally had a dream about the fight last night, I thought it was Topuria knocked out but it was actually Justin and for some reason Topuria allowed him to get up even after a pretty brutal knock down.",reaction_meme
ufc_128,Justin was told by fans to boycott the event & he disabled his comments,reaction_meme
ufc_129,The most corrupt sport of all time.,hot_take
ufc_130,I like this answer better than people posting the heavier weight classes. Anyone's going to sleep if they get pinched by a heavyweight. But if your chin can't even hold up in the lightweight division? Yeah you're not gonna get far.,fight_analysis
ufc_131,he is gonna pull out Arman Tsarukyan out of his pocket once the cage closes,reaction_meme
ufc_132,"Cruz caught him clean a few times in that fight, i guess he's pillowfisted?",fight_analysis
ufc_133,This is stupid. Any fighter who has a legitimately good plan to beat their opponent would not talk about publicly where their opponent would be able to see it and prepare for it.,fight_analysis
ufc_134,Creating the perfect card for ufc freedom 250,reaction_meme
ufc_135,Rockhold's problem was that he would back out straight with his chin up and hands down when pressed and he had a hard time seeing the left from a bladed retreating position. He could take hard shots in the pocket when he saw them coming.,fight_analysis
ufc_136,BREAKING: Dana White confirms that the AI-based ranking system will be official in the next two weeks. No more media rankings.,reaction_meme
ufc_137,How does Ilia plan on countering this from McGregor? Can he even defend it?,question_prompt
ufc_138,He won't make it out of the first round.,hot_take
ufc_139,"Had to scroll for a while to find this. Someone else mentioned it's hard to call a heavyweight someone with a weak chin, but he sure seemed to crumble from even glancing shots from people.",fight_analysis
ufc_140,"Johnny Walker, Dairush, Rockhold, Greg Hardy are washed",hot_take
ufc_141,He has a concept of a plan.,reaction_meme
ufc_142,someone send me the AI image of him pointing at Ilia with a gun in the middle of the octagon lol need to send it to a friend,reaction_meme
ufc_143,Homer Simpson strategy,reaction_meme
ufc_144,"This is the answer that I agree with. Most fighters lose their chin over time. Cody never seemed to have one. I dont know what his sparring was like, but in fights, it seemed like a glass jaw.",fight_analysis
ufc_145,MMA fans would definitely start booing GSP if he fought today,hot_take
ufc_146,Probably leg kicks since Ilia is heavy on his lead foot with his boxing stance.,fight_analysis
ufc_147,I feel like the gameplan should probably be to spam leg kicks and mix in early TD attempts. Like he did against Chandler end every combo with a leg kick. Then switch it up to end with a headkick and potentially catch him. I think if it goes long its actually worse for Justin cos it gives more chances for Ilia to catch him. But if he just stands and exchanges Justins getting KOd for sure. Ilia might even wrestle him like Charles did after rocking him. In any case its a hard fight for Justin.,fight_analysis
ufc_148,Hes so good man but sooooo chinny,hot_take
ufc_149,Lol TD attempts. Ilia has better wrestling than Justin.,hot_take
ufc_150,"Belal is overhated, hes actually very good person",hot_take
ufc_151,He's probably planning on hitting him in the face. I'm no expert though,reaction_meme
ufc_152,"Ah yes, the famous zone of death plan prior to his fight against Khabib",reaction_meme
ufc_153,Topuria is gonna have a bad night.,hot_take
ufc_154,"Look at how Justin put his hands on Paddy in 1st round, constantly tangling their arms and sneaking in nuke uppercuts and back to tangling. Obviously Ilia is levels above Paddy but that's how i see it, make it dirty. Also let's not forget that despite the gruelling fight and a great KO, Max was stinging Ilia baaad during their fight, he even had Ilia backstepping because of the shots he was eating. Meaning that Ilia is not invincible, Justin can still KO him, I've no idea what I'm saying, i eat crayons for breakfast.",fight_analysis
ufc_155,"By his own admission, Whitman tells him that and then he goes out swinging for the bleachers every time",fight_analysis
ufc_156,Yes they do. Chuck Liddell is the epitome of losing durability overnight. He had an iron chin until he didn't and then went on to get repeatedly stopped by shots he would have normally tanked.,fight_analysis
ufc_157,"Pulled out, now what ?",reaction_meme
ufc_158,Phil Hawes?,reaction_meme
ufc_159,He needs to use the clinch and kicks a lot imo,hot_take
ufc_160,Charles could have won,hot_take
ufc_161,Wait what is stupid? Cause Gaethje is agreeing with you,reaction_meme
ufc_162,"Cyril Gane's best weapon is his ability to control the pace and lull opponents into copying his bouncy rhythm which allows him to dictate every exchange. Just kidding. He just pokes the hell out of your eyes, apologizes with a polite smile, then pokes you again. Over and over.",reaction_meme
ufc_163,He needs to Garbrandt the whole night,reaction_meme
ufc_164,"I reckon he's gonna try punching him, maybe even a a kick or two",reaction_meme
ufc_165,There's a difference because he could absolutely take a punch. He didnt have a weak chin. Maybe was weak mentally due to not taking them or being a fighter in general from the beginning.,fight_analysis
ufc_166,"His switch to jackson-winkle did wonders for him. He was 15-9 with 7 losses by (t)ko prior to the change. After, he went 19-15-2 but also fought the best competition of his career and only 5 of those losses were by (t)ko. The man was knocking on the door of #1 contender once during that second stint in the ufc as well.",fight_analysis
ufc_167,"What mma fighter was held back by their chin the most? Maybe Not the absolute most but I had to pick Overeem, he was so good but his chin failed him multiple times",question_prompt
ufc_168,Marlon Moraes. One day you are fighting Cejudo for the belt after making a highlight reel KO of Aljo... And in the other day you are riding a 7 fight losing streak (all by KO) that makes you retire into becoming a police officer,fight_analysis
ufc_169,Forecast says thunderstorms,reaction_meme
ufc_170,"Idk about having a decent chin for most of his career. Chins do degrade over time, but not like that",fight_analysis
ufc_171,"The problem with Cruz unique fight stance and footwork is it's hard to generate power. He can land clean shots that will surprise his opponents, but those shots power are more coming from the upper body. Thats his whole game, keep landing clean shots in high volume, evading all the attacks and win by decision.",fight_analysis
ufc_172,Sean Strickland 6 day short notice ko on Brandon Allen is aging like fine wine.,hot_take
ufc_173,Justin doesn't have one punch KO power... I'm no Ilia fan but his chin looks solid so Justin's shots are going to have to accumulate. I just don't see the path for a Justin victory because Ilia will catch him on account of how hittable Justin is,fight_analysis
ufc_174,He actually has had a decent chin throughout his career. Always got into scraps but it has just caught up to him now,fight_analysis
ufc_175,This would be doubly effective as Ilia is already deaf.,reaction_meme
ufc_176,A head kick,reaction_meme
ufc_177,"Andrei Arlovski 100%, glass jaw legend, got cracked in pretty much every big fight of his career and never fixed it",hot_take
ufc_178,"I want to say Dariush, his skillset is really good, not champion level but if he could take a hit he would be a top 5",hot_take
ufc_179,The American way,reaction_meme
ufc_180,"He's gonna use Armans ""secret technique""",reaction_meme
ufc_181,What is Gaethje's plan,question_prompt
ufc_182,His chin seems to be holding up well after going over to bare knuckle..,fight_analysis
ufc_183,Whittaker looking small ahead of his LHW debut,reaction_meme
ufc_184,Cody Garbrandt wasn't the same after the TJ fights,hot_take
ufc_185,The Gane special,reaction_meme
ufc_186,His plan is getting knocked tf out.,hot_take
ufc_187,Gaethje will try to leg kick him and get KOed in the process. I had a dream about this,hot_take
ufc_188,Phil Hawes is good,reaction_meme
ufc_189,I been seeing people crap on JDM especially after Belal lost last night. I think yes he was overrated but to say he's done after fighting the literal goat of the sport and the most vicious dangerous and nasty striker in the history of 170 13 of last 14 all finishes is actually crazy.,hot_take
ufc_190,It sucks that odds are removed from the fight stats. Can't the UFC at least keep them in the Fight Pass library?,question_prompt
ufc_191,Not a glass chin. Bad take,hot_take
ufc_192,he trained with diego and josh and he learned the secret move that can literally kill a man,reaction_meme
ufc_193,"If you fight like he did Patty even remotely even for a a 10 second gap he's gonna get knocked out. I think Eli is gonna tie his head, dipping down to the side and knock them out with a head kick.",fight_analysis
ufc_194,Everyone has a plan until they get punched in the face,reaction_meme
ufc_195,Hot take: Volkanovski is the 145 goat and its not even close,hot_take
ufc_196,Gaethje probably cant even spell plan let alone come up with one. Cmon son.,reaction_meme
ufc_197,"Honestly maybe he needs a combination of both. Be disciplined but know when to cause chaos and throw his power. Even if things land on Ilia's guard, he needs to make Ilia at least be a little worried about what's coming back and maybe that opens up more opportunity. Even if everything goes perfectly, I don't see Justin taking it, but I guess we'll see",fight_analysis
ufc_198,So you're saying he fought Dustin and Paddy in the same way?,question_prompt
ufc_199,"""I'm gonna circle & jab a lot & not throw my idiotic combos that leave my face wide open""",reaction_meme
ufc_200,I wouldnt be surprised if he leaves the gloves in the octagon after this fight,hot_take
ufc_201,What is Gaethje's actual path to beating Ilia?,question_prompt
ufc_202,How should Justin approach the first round if he wants to survive the boxing exchanges?,question_prompt
ufc_203,Was Belal Muhammad ever really that good?,question_prompt
ufc_204,Who had the worst chin relative to their skill level?,question_prompt
ufc_205,What is the best example of a fighter losing their durability overnight?,question_prompt
ufc_206,How much of Cody Garbrandt's decline was chin versus defense?,question_prompt
ufc_207,Could Gaethje realistically win with a leg kick heavy gameplan?,question_prompt
ufc_208,What fight best shows that Gaethje can stick to a technical plan?,question_prompt
ufc_209,Is Ilia's boxing stance actually vulnerable to low kicks?,question_prompt
ufc_210,Which UFC fighter had the most wasted potential because of durability issues?,question_prompt
ufc_211,How would prime Nate Diaz handle a modern top welterweight striker?,question_prompt
ufc_212,What made Rockhold so hittable despite being so skilled?,question_prompt
ufc_213,Was Arlovski's chin always bad or did it fade with age?,question_prompt
ufc_214,What is the safest gameplan against Topuria's pressure boxing?,question_prompt
ufc_215,How important is wrestling in a Gaethje versus Topuria matchup?,question_prompt
ufc_216,Which fighter had the biggest gap between talent and fight IQ?,question_prompt
ufc_217,Can a fighter have a good chin but still react badly to getting hit?,question_prompt
ufc_218,What separates a glass chin from bad defensive habits?,question_prompt
ufc_219,Who is the best example of a fighter who aged out all at once?,question_prompt
ufc_220,What would be the most realistic upset path for Justin against Ilia?,question_prompt
